maze_num,forward_exec_time,backward_exec_time
0,0.027093,0.203969
1,0.007998,0.005332
2,0.592802,0.833357
3,0.052948,0.079059
4,0.099767,0.015687
5,0.02999,0.194352
6,0.484035,0.160636
7,1.073743,0.583759
8,0.045447,0.101272
9,0.103817,0.043912
10,0.012986,0.028136
11,0.849324,0.706007
12,0.099616,0.029334
13,0.762003,0.031254
14,0.505328,0.384592
15,0.003293,0.010562
16,0.011313,0.017293
17,0.017852,0.018153
18,0.754046,0.214952
19,0.098297,0.043929
20,0.058825,0.075795
21,0.017593,0.055048
22,0.082084,0.105476
23,0.122608,0.148099
24,0.572064,1.759688
25,0.02999,0.039199
26,0.313003,0.059385
27,0.110997,0.106452
28,0.267117,0.494731
29,0.539400,0.395069
30,0.533292,0.646821
31,0.012994,0.005962
32,0.010279,0.014904
33,0.002148,0.003557
34,0.7077,0.06331
35,0.063539,0.062694
36,0.014506,0.011324
37,0.030766,0.05844
38,0.029516,0.767921
39,0.017114,0.057271
40,0.12791,0.090812
41,0.245494,0.113654
42,0.099604,0.116031
43,0.11939,0.11017
44,1.045002,1.692845
45,0.004219,0.003923
46,0.070211,0.056304
47,0.013446,0.033328
48,0.259391,0.225865
49,0.198111,0.127758
